Track name,Artist name,Album,Playlist name,Type,ISRC
"Яблонный сад","Shortparis","Яблонный сад","Library Songs","Favorite","RUUM72100466"
"Я хочу быть с тобой","Vyacheslav Butusov","Гудбай, Америка!","Library Songs","Favorite","RUB421701534"
"Я хочу быть с тобой","Nautilus Pompilius","Князь тишины","Library Songs","Favorite","RUB421200534"
"Я тебя люблю","Где Фантом?","Я тебя люблю - Single","Library Songs","Favorite","QZHZ52092976"
"Я так хочу...","Okean Elzy","Dolce vita","Library Songs","Favorite","USA371364772"
"Я так хочу...","Okean Elzy","The Best Of","Library Songs","Favorite","USA371364772"
"Я ничего не могу с собою сделать","Electroforez","505","Library Songs","Favorite","QZ5AB2118735"
"я ненавижу дрейн","конец солнечных дней","как дела у твоего друга в сером городе?","Library Songs","Favorite","QZS662140495"
"Я Не Коммунист","Molchat Doma","С Крыш Наших Домов","Library Songs","Favorite","AEA0D1847469"
"Я и твой кот","Svidanie","Я и твой кот - Single","Library Songs","Favorite","FRX451537929"
"Я з україни","Meri","Я z україни","Library Songs","Favorite","USCGJ1954525"
"Я видел сон","Peremotka","Ночь эпохи","Library Songs","Favorite","FRX201709265"
"Я бью женщин и детей","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619249"
"Я","Dajte Tank (!)","На вырост - Single","Library Songs","Favorite","RUA1H1801476"
"Этот мир","Alla Pugacheva","То ли ещё будет...","Library Songs","Favorite","RUB421303124"
"Это пройдёт","Pornofilmy","Это пройдёт","Library Songs","Favorite","SMRUS0062506"
"Электрический ток","Увула","Ничего сверхъестественного - EP","Library Songs","Favorite","QM4TX2002753"
"Щедрик","Елена Войнаровская","Ночь тиха - EP","Library Songs","Favorite","UACA11700015"
"Шугейз-принцесса","Эйфория","ЛП","Library Songs","Favorite","RUA1D1821045"
"Штиль","Aria","Легенды русского рока: Ария","Library Songs","Favorite","FR96X1576746"
"Что такое осень","DDT","Просвистела","Library Songs","Favorite","RUB311101607"
"Что Мы Творим","RADIO TAPOK","Что Мы Творим - Single","Library Songs","Favorite","TCAFR2119447"
"Човен","Okean Elzy","Човен - Single","Library Songs","Favorite","FR59R1964504"
"Чио-Чио-Сан","Chernikovskaya Hata","Randevu","Library Songs","Favorite",""
"Черный октябрь","RADIO TAPOK","Наследие","Library Songs","Favorite","TCAGB2216913"
"Чёрное знамя","ELYSIUM","Снегири и драконы","Library Songs","Favorite","QMPU51632742"
"Чёрно-белые дни","[AMATORY]","Неизбежность","Library Songs","Favorite","TCABO1300329"
"Чай под печаль","Близкие Незнакомцы","В Советской России","Library Songs","Favorite","RUA1D2125424"
"Цусима","RADIO TAPOK","Наследие","Library Songs","Favorite","TCAGB2216812"
"Хто, як не ти?","Khrystyna Soloviy","Хто, як не ти? - Single","Library Songs","Favorite","FRX201614823"
"Хочу перемен","Viktor Tsoi & Kino","Виктор Цой и Группа Кино. Полная дискография","Library Songs","Favorite","TCADG1798150"
"Холодно","Mertvyj Piven","Шабадабада","Library Songs","Favorite","QZNWW2183048"
"Холодні очі","Улица Восток","Холодні очі - Single","Library Songs","Favorite","FRX762397811"
"Холодні зірки","Sudno","Холодні зірки - Single","Library Songs","Favorite","AEA0D2275951"
"Ходынка","Electroforez","505","Library Songs","Favorite","QZ5AB2118724"
"Хару мамбуру","Nogu Svelo!","Хару мамбуру","Library Songs","Favorite","QMBZ91333948"
"Халхин - Гол","RADIO TAPOK","Наследие","Library Songs","Favorite","TCAGB2216915"
