,text
0,Яблонный сад
1,Я хочу быть с тобой
2,Я хочу быть с тобой
3,Я тебя люблю
4,Я так хочу...
5,Я так хочу...
6,Я ничего не могу с собою сделать
7,я ненавижу дрейн
8,Я Не Коммунист
9,Я и твой кот
10,Я з україни
11,Я видел сон
12,Я бью женщин и детей
13,Я
14,Этот мир
15,Это пройдёт
16,Электрический ток
17,Щедрик
18,Шугейз-принцесса
19,Штиль
20,Что такое осень
21,Что Мы Творим
22,Човен
23,Чио-Чио-Сан
24,Черный октябрь
25,Чёрное знамя
26,Чёрно-белые дни
27,Чай под печаль
28,Цусима
29,"Хто, як не ти?"
30,Хочу перемен
31,Холодно
32,Холодні очі
33,Холодні зірки
34,Ходынка
35,Хару мамбуру
36,Халхин - Гол
37,Фотограф (feat. Superkomfort)
38,фотограф
39,форева
40,Фильмы
41,Фильмы
42,Философский камень
43,Феллини (feat. Би-2)
44,Феллини
45,Фейерверк
46,Фантом (Live)
47,Фанк
48,Утро
49,Утро
50,Утонуть / Utonut'
51,Улыбайся
52,Увидел другой
53,Убегай
54,ты слушаешь joy division
55,Ты Неси Меня Река
56,Ты не такая
57,Ты не верь слезам
58,Ты и твоя тень
59,Тут було місто
60,Троллейбус
61,Тримай
62,Тримай
63,Тривога
64,Три хвилини
65,Тоска
66,Тонкая нить
67,То є Львів
68,Ти зі мною (Я здаюсь!)
69,Ти б не повірила
70,Тени от пальм
71,Тебя нет
72,твои волшебные мечты
73,Твоего балкона свет
74,Тараканы (Remix)
75,Танцы
76,Танці (feat. Sad Novelist)
77,Танець пінгвіна
78,"Там, де нас нема"
79,"Така, як ти"
80,Так хочу
81,Так гріє
82,Тайна
83,Тает лёд
84,Сука війна!
85,Судно (Борис Рижий)
86,"Стук ""Одно лишь слово"""
87,Стріляй
88,Старое кино
89,Старі фотографії (A.Muzon Remix)
90,Старая магнитола
91,Спокойная ночь
92,спелая вишня
93,Спектакль окончен
94,Сонник
95,Сон Вещий
96,Солнце
97,Солдатами не рождаются
98,Солдат
99,Сокол
100,Советская
101,Снова привет (feat. Марний)
102,Снова парк
103,Снова
104,Сни
105,Смута
106,Сломаю стену
107,Следы на снегу
108,Скованные одной цепью
109,Сказочная тайга
110,Скажи мне кто ты
111,Силуети
112,Сибириада
113,Сибириада
114,Сибириада
115,Сибириада
116,Сёрф
117,Серёжа
118,Середина грустных лет
119,Серебро
120,Селигер
